,obs_gdp,obs_c,obs_i,obs_g,obs_tr,obs_w,obs_n,obs_ffr,obs_pi,obs_tfp,obs_oil,obs_gas,obs_inflexp,obs_tr10,obs_cy,ec_chi,ec_tr,ec_gn
1985-07-01,4.906248722523543,7.09445014540151,-5.929878754073314,8.184766937895915,3.1304141416661935,3.4610360619181657,-0.8229543915614812,7.8999999999999995,4.087088453304055,0.010073112619380079,0.317917021052996,-3.138581110243699,,10.335555555555555,0.29634920634920725,0.0,0.0,0.0
1985-10-01,1.8120875179249651,0.2672930973702137,14.407950908286438,1.4301416223489127,1.2311986568507294,5.255759769926782,2.343356549308595,8.103333333333333,2.858672780418381,-0.005847579422839996,0.36155932527717116,1.7086139108885234,,9.766129032258064,0.3516666666666648,0.0,0.0,0.0
1986-01-01,2.568247402409085,3.182381874697171,-1.3170081743076878,0.3540998720026778,3.9575714552933405,3.681474254870065,1.47656329075172,7.826666666666667,4.295603145675919,0.007181664434435037,-0.1840196882764441,-26.37240137008252,,8.567,0.6453333333333333,0.0,0.0,0.0
1986-04-01,0.6518352602391531,1.2664592193495139,-6.48333500637861,6.000461894993947,8.708749680666905,3.088877209698637,-1.720497741523097,6.919999999999999,2.7332359184002897,0.0004834024180569783,-0.3877819121393137,-78.8563944174987,,7.59796875,1.3377083333333317,0.0,0.0,0.0
1986-07-01,2.668466370148792,6.33695174280362,-11.959751413888142,7.8592951672987965,5.9953274035997595,3.3314529780227975,1.6467805414771775,6.206666666666666,2.7377874355572374,-0.002101268737080045,-0.39619226880973824,-27.6902578944922,,7.30546875,1.4517187500000004,0.0,0.0,0.0
1986-10-01,1.000085204682577,1.5383327457470841,-0.34263655905988344,-2.1927006050873388,-6.299244988631614,3.14748873987305,0.7545895534024183,6.266666666666667,3.2439968311216205,-0.007695837385633628,-0.29767441400989003,-9.447208066466573,,7.264032258064516,1.2415053763440866,0.0,0.0,0.0
1987-01-01,1.8174226854085873,0.45096318514552536,9.918527864181925,1.2197037578360437,-3.1530017733786053,-0.7960894808330732,2.9776932442032944,6.22,2.525284946441708,-0.011572858723719798,-0.13399665326545251,41.98986711977408,,7.195409836065574,,0.0,0.0,0.0
1987-04-01,3.1603383089350956,5.361869719148871,-2.338467861326876,2.612241515848268,4.396678581476188,0.14955308237769582,1.8944129870039461,6.6499999999999995,3.864788691427279,0.012389462955532941,-0.0804978323709643,9.134448638494419,,8.342698412698413,,0.0,0.0,0.0
1987-07-01,2.3246172486288685,4.150332371253285,-3.289287967206178,0.11235488111722702,-3.596349849347291,1.043948503254044,1.3921690596411906,6.843333333333334,3.567131414331648,0.0008538656282074627,-0.036664215809217415,17.010505219553984,,8.8696875,,0.0,0.0,0.0
1987-10-01,5.683821758807284,-0.010770166367990441,26.432817640139916,3.28314682956119,1.8329985823429595,1.5515221726190687,1.2092256541889057,6.916666666666667,4.044818652597648,0.001057905409519343,-0.1325036310379083,1.2993026358335769,,9.129032258064516,,0.0,0.0,0.0
1988-01-01,0.9476004618210965,5.9039728069159025,-20.583226529912224,-3.9114755395488032,7.594953285298445,3.792241023656029,-0.665823880157923,6.663333333333334,3.841219553960684,0.006611952486578256,-0.25096082125236163,-9.001606342032353,,8.410967741935485,,0.0,0.0,0.0
1988-04-01,4.105244759825766,2.3489706336945915,6.278283243614169,0.09868831280002155,-4.056191431665468,0.9297187050532729,0.7373558024918125,7.156666666666666,4.818795931353392,-0.002230735055568086,-0.22728345130735506,-0.9178897971100497,,8.912857142857142,,0.0,0.0,0.0
1988-07-01,1.2215727566502466,2.5735286862413886,-2.676748047746713,-2.9746558946605717,0.3761703707844788,0.15710177656020896,0.23842758383949558,7.983333333333333,4.580718562874608,0.0009877369498849128,-0.36992107274895314,5.166628847304189,,9.10359375,,0.0,0.0,0.0
1988-10-01,4.188771762275678,4.000624422346277,4.161463189981163,7.050967538063446,3.1958276923534257,-0.4389393726176527,2.1354592144216866,8.47,4.44418794536432,-0.00167336271431818,-0.41087101666453785,-6.0974659380075735,,8.95704918032787,,0.0,0.0,0.0
1989-01-01,2.938072071530229,1.1718528637970849,12.118714634319616,-2.8686002067892957,6.196122604210963,-3.0371343677392693,1.559831078179208,9.443333333333333,4.341842394944706,-0.007201335406656847,-0.19442405941381302,11.229819897217297,,9.211639344262295,,0.0,0.0,0.0
1989-04-01,1.9355379778080106,1.8836597277413603,-7.113745048654607,5.000195792806039,-1.8383901131956648,-2.598159751368012,-1.0000622022044325,9.726666666666667,3.6225124394089647,-0.013701597157329942,-0.10482908518674294,48.53892409769536,,8.75796875,,0.0,0.0,0.0
1989-07-01,1.8559659640423831,2.2003957567221732,-5.846337411541924,2.4905834540689398,7.164197134027006,0.6592564781174204,-0.11550333742054164,9.083333333333334,2.9656736082419144,-0.0013436653579592347,-0.16793956901656004,-18.869395359599395,,8.107460317460317,,0.0,0.0,0.0
1989-10-01,-0.309426242343136,0.9434808796434879,-4.197449305470258,1.4949894054090862,4.488565300868785,2.8640684527152516,-0.5294702178417765,8.613333333333333,3.6452533962400224,-0.008299909670470031,-0.12047666780689126,-9.52378800496394,,7.9070967741935485,,0.0,0.0,0.0
1990-01-01,3.2531345101034503,3.7319643231384703,0.60675449101808,5.2969671536985174,7.502872860199794,3.2391581337796405,3.433611224805233,8.25,4.579854133208272,0.0033777669275239096,-0.0651141189614195,29.52079783372863,,8.423870967741935,,0.0,0.0,0.0
1990-04-01,0.3618478937497116,-0.7027529677756661,-4.009148985936406,0.4404702488436385,5.111200402209626,3.2343560995587772,-3.036533013965226,8.243333333333332,4.443759314272455,0.0010001801402712246,-0.26998439564494714,-7.230583284467684,,8.674126984126984,,0.0,0.0,0.0
1990-07-01,-0.8062896379243512,2.1470287417134415,-10.017679888969155,-0.6493094305319858,1.5328249103884417,1.8716498938132764,-2.808397065454571,8.16,4.021930386061001,-0.006896399255380374,0.11400868528783925,35.390039540761364,,8.701269841269841,,0.0,0.0,0.0
1990-10-01,-4.727036947612362,-1.834098193125655,-25.941035651952404,4.210421119792329,3.5705203113089112,0.03352614697835765,-3.031878064176219,7.743333333333332,3.344574200966477,-0.015304967979502008,0.29058741188976345,61.50907833624153,,8.405967741935482,,0.0,0.0,0.0
1991-01-01,-2.9328702257597428,-4.373669119659596,-14.73567248898675,-0.029113658197132963,-32.35616056794637,-1.583313093333305,-3.8000971794559746,6.426666666666667,3.5348306185678524,-0.006509347154035235,-0.09926483445700962,-48.71447393301924,,8.022833333333333,,0.0,0.0,0.0
1991-04-01,2.057154074013212,1.4994482965089873,-3.1215447952249065,-0.13303788416223483,34.59184691130126,4.6753164831039085,-1.6205280943820455,5.863333333333333,3.07157282318542,0.0077387506971051435,-0.15492404327660425,-23.705770509501534,,8.12546875,,0.0,0.0,0.0
1991-07-01,0.9712199910907771,0.5336564168715086,4.779062084922003,-1.1805797120096884,17.792045930712774,1.6485339562503531,-0.8849726035892402,5.6433333333333335,3.5854223537917562,-0.0012469207730180557,-0.12015674365051232,-4.031208534783026,,7.95,,0.0,0.0,0.0
1991-10-01,0.362759672297841,-0.7110992266838423,9.608646632970874,-2.629178782263608,17.83078479611131,2.947414345511712,-0.9688478296226322,4.816666666666666,3.1347841205434435,-0.004706274100455034,-0.12230366755461686,5.80989835007415,3.3976,7.345,,0.0,0.0,0.0
1992-01-01,3.736852952861369,7.405254185437826,-11.588648412491409,2.8499265653223915,16.755034237917243,8.802711148214538,-0.07522399429280568,4.023333333333333,3.0498152476294393,0.03142434095534298,-0.2653026317823869,-7.433826421274503,3.2833,7.3069354838709675,,0.0,0.0,0.0
1992-04-01,3.293876287509434,1.9379957282563254,19.43957071225242,-0.8963883743888346,7.750140073870604,1.2312075419119273,2.449805431366414,3.7699999999999996,2.813078508686928,-0.0010971986526479038,-0.1576691620355407,4.199631657036917,3.5194,7.376031746031746,,0.0,0.0,0.0
